,match_probability,source_dataset_l,source_dataset_r,unique_id_l,unique_id_r,firstname_l,firstname_r,lastname_l,lastname_r,petname_l,petname_r,dob_l,dob_r,sex_l,sex_r,match_key
2006,100.0,facility_df,house_df,160,2384,Hajara,Hajara,Jamila,Jamila,,,1975-09-11,1975-09-11,2,2,0
195,99.73,facility_df,house_df,2886,3001,Hajara,Hajara,,Mutesi,,,1964-11-09,1964-01-10,2,2,0
794,100.0,facility_df,house_df,636,1075,Hajara,Hajara,Mulondo,Mulondo,Nalubega,Kalyesubula,1980-01-11,1980-01-04,1,1,0
608,100.0,facility_df,house_df,2335,3108,Hajara,Hajara,Naikoba,Naikoba,Balinda,Nima,1980-05-15,1980-05-28,2,2,0
376,100.0,facility_df,house_df,2886,2127,Hajara,Hajara,,,,,1964-11-09,1964-11-09,2,2,0
2988,100.0,facility_df,house_df,1540,643,Hajati,Hajati,Fauza,Fauza,Kaira,Kaira,1989-12-15,1989-12-15,2,2,0
976,100.0,facility_df,house_df,340,2119,Hajira,Hajira,Nambogwe,Nambogwe,Nambi,Elara,1962-08-12,1962-09-01,2,2,0
2482,100.0,facility_df,house_df,1785,2764,Hajira,Hajira,Madina,Madina,Ziba,Ziba,1996-01-16,1996-01-16,2,2,0
972,100.0,facility_df,house_df,845,2119,Hajira,Hajira,Nambogwe,Nambogwe,Nambi,Elara,1962-08-12,1962-09-01,2,2,0
2243,100.0,facility_df,house_df,1673,2770,Hajira,Hajira,Asumati,Asumati,Rila,Rila,1947-06-14,1947-06-27,2,2,0
2830,100.0,facility_df,house_df,2376,2119,Hajira,Hajira,Nambogwe,Nambogwe,Elara,Elara,1962-09-01,1962-09-01,2,2,0
2127,100.0,facility_df,house_df,2780,2764,Hajira,Hajira,Madina,Madina,Ziba,Ziba,1996-01-03,1996-01-16,2,2,0
1520,100.0,facility_df,house_df,2064,4091,Hajira,Hajira,Shaliya,Shaliya,Nakato,,2014-08-14,2014-09-03,2,2,0
2495,100.0,facility_df,house_df,1991,25,Hakima,Hakima,Naigaga,Naigaga,Wura,Wura,1967-03-22,1967-03-22,2,2,0
914,100.0,facility_df,house_df,2574,3773,Hakimu,Hakimu,Sowobi,Sowobi,Ayugi,Buyinza,2003-08-03,2003-08-23,1,1,0
2043,100.0,facility_df,house_df,2203,3513,Halima,Halima,Nakirya,Nakirya,,,1952-01-05,1952-01-05,2,2,0
1927,100.0,facility_df,house_df,2103,117,Halima,Halima,Kisakye,Kisakye,,,1959-05-01,1959-05-01,2,2,0
1926,100.0,facility_df,house_df,2217,1620,Halima,Halima,Kyakuwaire,Kyakuwaire,,,2025-09-24,2025-09-24,2,2,0
936,100.0,facility_df,house_df,2111,237,Halima,Halima,Kakaire,Kakaire,,,1958-07-26,1958-08-15,2,2,0
2120,100.0,facility_df,house_df,1312,2453,Halima,Halima,Nakaziba,Nakaziba,Dila,Dila,1986-12-08,1986-12-21,2,2,0
2296,100.0,facility_df,house_df,1689,477,Hamidu,Hamidu,Basoga,Basoga,Abbo,Abbo,1966-09-08,1966-09-28,1,1,0
2311,100.0,facility_df,house_df,2885,381,Haminsi,Haminsi,Hassan,Hassan,Kamya,Kamya,1940-03-14,1940-03-07,1,1,0
2312,100.0,facility_df,house_df,121,381,Haminsi,Haminsi,Hassan,Hassan,Kamya,Kamya,1940-03-14,1940-03-07,1,1,0
2774,100.0,facility_df,house_df,2613,1019,Haminsi,Haminsi,Kigenyi,Kigenyi,Kugonza,Kugonza,1948-10-25,1948-10-25,1,1,0
1308,100.0,facility_df,house_df,1055,1743,Hanani,Hanani,Hassan,Hassan,Bino,Ibrahim,1947-04-02,1947-04-22,1,1,0
1449,100.0,facility_df,house_df,1749,1139,Hanifa,Hanifa,Aisha,Aisha,Nandawula,,2018-03-22,2018-04-04,2,2,0
1647,100.0,facility_df,house_df,400,3588,Hanisha,Hanisha,Naiboka,Naiboka,Nsereko,,1973-04-20,1973-04-05,2,2,0
655,100.0,facility_df,house_df,1512,815,Hanisha,Hanisha,Kagoya,Kagoya,Ggombe,Abena,2003-06-25,2003-06-18,2,2,0
1273,100.0,facility_df,house_df,1730,3020,Harriet,Harriet,Aisha,Aisha,Asasira,,2016-11-13,2016-11-26,2,2,0
2859,100.0,facility_df,house_df,1895,3963,Haruna,Haruna,Baabi,Baabi,Kyeyune,Kyeyune,1991-11-11,1991-11-11,1,1,0
2844,100.0,facility_df,house_df,259,3214,Haruna,Haruna,Daudi,Daudi,Golooba,Golooba,1950-06-12,1950-06-12,1,1,0
1295,100.0,facility_df,house_df,600,576,Haruna,Haruna,Salimu,Salimu,Ampuri,Kalyesubula,1953-05-19,1953-04-29,1,1,0
681,100.0,facility_df,house_df,889,3512,Hasifa,Hasifa,Kagoya,Kagoya,Namazzi,,1949-09-04,1949-09-17,2,2,0
1804,100.0,facility_df,house_df,2415,1054,Hasifa,Hasifa,Mariam,Mariam,,,1935-02-07,1935-02-07,2,2,0
1044,100.0,facility_df,house_df,1160,137,Hasifa,Hasifa,Namugabo,Namugabo,Nakayiza,Ianda,1974-12-12,1974-12-05,2,2,0
2089,100.0,facility_df,house_df,452,302,Hasifa,Hasifa,Kauma,Kauma,Landa,Landa,1996-05-24,1996-05-17,2,2,0
188,99.7,facility_df,house_df,2805,3221,Hasifa,Hasifa,,,Jabari,,1944-11-16,1943-04-06,2,2,0
1043,100.0,facility_df,house_df,1367,1801,Hasifa,Hasifa,Zuluuta,Zuluuta,Ekwamu,Dila,1932-08-16,1932-08-29,2,2,0
802,100.0,facility_df,house_df,835,752,Hasifa,Hasifa,Balungi,Balungi,Biyinzika,Canda,1987-07-28,1987-07-17,2,2,0
2069,100.0,facility_df,house_df,2310,2676,Hasifa,Hasifa,Hafusa,Hafusa,,,2023-06-16,2023-06-16,2,2,0
103,98.23,facility_df,house_df,889,2478,Hasifa,Hasifa,Kagoya,Shatra,Namazzi,,1949-09-04,1949-01-04,2,2,0
837,100.0,facility_df,house_df,841,1054,Hasifa,Hasifa,Mariam,Mariam,Nalubega,,1935-01-25,1935-02-07,2,2,0
2696,100.0,facility_df,house_df,764,8,Hassan,Hassan,Kapisi,Kapisi,Ganyana,Ganyana,1981-03-25,1981-03-25,1,1,0
900,100.0,facility_df,house_df,2322,1385,Hassan,Hassan,,,Nakyejwe,Nakyejwe,1983-05-29,1983-06-18,1,1,0
555,100.0,facility_df,house_df,2748,704,Hassan,Hassan,Tenywa,Tenywa,Balikuwa,Edoni,1954-02-03,1954-01-07,1,1,0
2901,100.0,facility_df,house_df,943,3562,Hassan,Hassan,Swaibu,Swaibu,Kozel,Kozel,1993-01-13,1993-01-13,1,1,0
221,99.92,facility_df,house_df,2322,648,Hassan,Hassan,,Batuli,Nakyejwe,Nakyejwe,1983-05-29,1963-04-13,1,1,0
1834,100.0,facility_df,house_df,1453,1385,Hassan,Hassan,,,Nakyejwe,Nakyejwe,1983-06-18,1983-06-18,1,1,0
885,100.0,facility_df,house_df,945,47,Hassan,Hassan,Alex,Alex,Nyendo,Jogo,1994-08-08,1994-08-21,1,1,0
222,99.92,facility_df,house_df,1453,648,Hassan,Hassan,,Batuli,Nakyejwe,Nakyejwe,1983-06-18,1963-04-13,1,1,0
884,100.0,facility_df,house_df,1636,47,Hassan,Hassan,Alex,Alex,Nyendo,Jogo,1994-08-08,1994-08-21,1,1,0
2294,100.0,facility_df,house_df,1747,2479,Hassan,Hassan,Isa,Isa,Deo,Deo,1931-05-24,1931-06-06,1,1,0
479,100.0,facility_df,house_df,1412,617,Hassan,Hassan,Aisha,Aisha,Aruho,Apolo,1934-08-05,1934-08-18,1,1,0
2295,100.0,facility_df,house_df,1434,2479,Hassan,Hassan,Isa,Isa,Deo,Deo,1931-05-24,1931-06-06,1,1,0
2805,100.0,facility_df,house_df,769,1820,Haulati,Haulati,Zauma,Zauma,Ema,Ema,1970-09-14,1970-09-14,2,2,0
1492,100.0,facility_df,house_df,1985,1679,Haulatu,Haulatu,Namugere,Namugere,Bachwa,Eanda,1998-12-25,1999-01-14,2,2,0
2512,100.0,facility_df,house_df,777,3469,Hawa,Hawa,Namaganda,Namaganda,Tasha,Tasha,1985-09-06,1985-09-06,2,2,0
851,100.0,facility_df,house_df,1822,2955,Hawa,Hawa,Namukobe,Namukobe,Alinda,Tala,1954-08-24,1954-09-13,2,2,0
2703,100.0,facility_df,house_df,1314,1654,Hawa,Hawa,Byogero,Byogero,Qima,Qima,2003-03-31,2003-03-31,2,2,0
1434,100.0,facility_df,house_df,2869,4098,Hawah,Hawah,Mwajuma,Mwajuma,Nakato,Wira,1984-09-23,1984-10-06,2,2,0
2871,100.0,facility_df,house_df,1033,4098,Hawah,Hawah,Mwajuma,Mwajuma,Wira,Wira,1984-10-06,1984-10-06,2,2,0
1414,100.0,facility_df,house_df,1533,1297,Herone,Herone,,,Uma,Uma,1945-07-17,1945-06-20,2,2,0
1578,100.0,facility_df,house_df,441,1871,Hibah,Hibah,Nantambi,Nantambi,Kiira,Mira,1946-07-11,1946-07-04,2,2,0
2287,100.0,facility_df,house_df,2274,3239,Hibba,Hibba,Kuteganya,Kuteganya,,,1940-07-14,1940-07-14,2,2,0
1157,100.0,facility_df,house_df,172,3166,Hindu,Hindu,Kirabira,Kirabira,Bulo,Fanda,1988-02-21,1988-03-05,2,2,0
1772,100.0,facility_df,house_df,2033,2598,Huda,Huda,Zubeda,Zubeda,Basigye,Nira,1954-09-25,1954-10-15,2,2,0
1850,100.0,facility_df,house_df,78,1973,Hudaiya,Hudaiya,Nakisige,Nakisige,Nakalanzi,,2017-01-26,2017-02-08,2,2,0
1848,100.0,facility_df,house_df,1041,1973,Hudaiya,Hudaiya,Nakisige,Nakisige,Nakalanzi,,2017-01-26,2017-02-08,2,2,0
1560,100.0,facility_df,house_df,2536,4092,Humairi,Humairi,Kuzairu,Kuzairu,Nakato,Lwasa,2023-09-19,2023-10-02,1,1,0
1331,100.0,facility_df,house_df,1558,126,Humairi,Humairi,Meere,Meere,Nalubega,Mukitale,1934-12-01,1934-11-04,1,1,0
2329,100.0,facility_df,house_df,1790,437,Humairi,Humairi,Mulani,Mulani,Khaoya,Khaoya,1997-12-10,1997-12-23,1,1,0
2831,100.0,facility_df,house_df,1246,3156,Humairi,Humairi,Kirunda,Kirunda,Kyosiima,Kyosiima,2007-03-02,2007-03-02,1,1,0
928,100.0,facility_df,house_df,2617,695,Humairi,Humairi,Ziraba,Ziraba,Bakibinga,Jjuko,2025-06-30,2025-06-23,1,1,0
1554,100.0,facility_df,house_df,2684,4015,Huseein,Huseein,Balidawa,Balidawa,Mazuri,Mukasa,1995-07-31,1995-08-13,1,1,0
909,100.0,facility_df,house_df,96,845,Hussein,Hussein,Paul,Paul,Kassim,Mukembo,1974-10-23,1974-10-16,1,1,0
2645,100.0,facility_df,house_df,1652,2674,Hussein,Hussein,Alamanzan,Alamanzan,Mwesigye,Mwesigye,1950-04-29,1950-04-29,1,1,0
2755,100.0,facility_df,house_df,2469,1041,Hussein,Hussein,Issa,Issa,Kiprotich,Kiprotich,1973-11-28,1973-11-28,1,1,0
1084,100.0,facility_df,house_df,1891,1041,Hussein,Hussein,Issa,Issa,Nakyobe,Kiprotich,1973-11-15,1973-11-28,1,1,0
2297,100.0,facility_df,house_df,1356,2832,Hussein,Hussein,Kayigwa,Kayigwa,Jose,Jose,2021-11-06,2021-11-19,1,1,0
2562,100.0,facility_df,house_df,2571,1045,Hussein,Hussein,Muwaya,Muwaya,Jogo,Jogo,2025-06-12,2025-06-12,1,1,0
2780,100.0,facility_df,house_df,932,2597,Ibanda,Ibanda,Fahadi,Fahadi,Echodu,Echodu,1964-04-22,1964-04-22,1,1,0
1378,100.0,facility_df,house_df,2808,896,Ibanda,Ibanda,Abdumaliki,Abdumaliki,Lalo,Mahoro,1942-05-25,1942-06-14,1,1,0
2574,100.0,facility_df,house_df,1360,3817,Ibanda,Ibanda,Kaziba,Kaziba,Kyakonye,Kyakonye,1979-03-08,1979-03-08,1,1,0
1915,100.0,facility_df,house_df,1937,1881,Ibra,Ibra,,,Kakooza,Kakooza,1967-03-01,1967-03-01,1,1,0
2698,100.0,facility_df,house_df,1854,1886,Ibra,Ibra,Shafique,Shafique,Gidudu,Gidudu,1965-07-04,1965-07-04,1,1,0
2898,100.0,facility_df,house_df,85,1908,Ibra,Ibra,Jowari,Jowari,Abbo,Abbo,1947-11-12,1947-11-12,1,1,0
1019,100.0,facility_df,house_df,347,1808,Ibra,Ibra,Ndada,Ndada,Etungu,Esibwe,1947-09-10,1947-09-23,1,1,0
2344,100.0,facility_df,house_df,2449,2332,Ibrahim,Ibrahim,Rahim,Rahim,Hamuza,Hamuza,1931-03-14,1931-03-27,1,1,0
1357,100.0,facility_df,house_df,124,702,Ibrahim,Ibrahim,Rashid,Rashid,Balamu,Awori,1996-02-05,1996-02-18,1,1,0
1468,100.0,facility_df,house_df,1098,3579,Ibrahim,Ibrahim,Mugambe,Mugambe,Nkwanga,Nalwbwama,1959-05-11,1959-05-24,1,1,0
1040,100.0,facility_df,house_df,214,1078,Ibunabasi,Ibunabasi,Kakaire,Kakaire,Nalubowa,Jjingo,2005-06-24,2005-07-07,1,1,0
1039,100.0,facility_df,house_df,1212,1078,Ibunabasi,Ibunabasi,Kakaire,Kakaire,Nalubowa,Jjingo,2005-06-24,2005-07-07,1,1,0
921,100.0,facility_df,house_df,1611,1967,Iduma,Iduma,Nkwanga,Nkwanga,Nakalanzi,Kyota,1930-03-14,1930-03-27,1,1,0
2532,100.0,facility_df,house_df,143,2836,Iduma,Iduma,Sowobi,Sowobi,Nadduli,Nadduli,1976-04-28,1976-04-28,1,1,0
360,100.0,facility_df,house_df,2375,3696,Igaga,Igaga,,,Ankole,Ebitu,2003-12-03,2003-12-03,1,1,0
2907,100.0,facility_df,house_df,2117,1467,Igaga,Igaga,Ssemata,Ssemata,Hassan,Hassan,2012-05-08,2012-05-08,1,1,0
2453,100.0,facility_df,house_df,2458,1467,Igaga,Igaga,Ssemata,Ssemata,Hassan,Hassan,2012-04-25,2012-05-08,1,1,0
2452,100.0,facility_df,house_df,2558,1467,Igaga,Igaga,Ssemata,Ssemata,Hassan,Hassan,2012-04-25,2012-05-08,1,1,0
1533,100.0,facility_df,house_df,71,1736,Ikoba,Ikoba,Revis,Revis,Bayiga,Masinde,1931-06-26,1931-07-09,1,1,0
557,100.0,facility_df,house_df,1788,1006,Irene,Irene,Mariam,Mariam,Nakato,Vama,1936-09-28,1936-10-11,2,2,0
2,95.15,facility_df,house_df,605,2549,Irene,Irene,Arinda,Apedeti,Apedeti,Qama,1972-12-09,1972-12-02,2,2,0
1948,100.0,facility_df,house_df,2634,2897,Irene,Irene,Nalubanga,Nalubanga,,,2018-11-11,2018-11-11,2,2,0
1031,100.0,facility_df,house_df,546,559,Irene,Irene,Shamimu,Shamimu,Alumo,,1948-07-15,1948-07-28,2,2,0
742,100.0,facility_df,house_df,500,3064,Irene,Irene,Juliet,Juliet,Ayebare,Cira,1964-10-16,1964-10-29,2,2,0
803,100.0,facility_df,house_df,2715,745,Irene,Irene,Magumba,Magumba,Bintu,,2017-09-04,2017-09-24,2,2,0
804,100.0,facility_df,house_df,2181,745,Irene,Irene,Magumba,Magumba,Bintu,,2017-09-04,2017-09-24,2,2,0
595,100.0,facility_df,house_df,1386,2524,Irine,Irine,Sumaya,Sumaya,Alita,Asha,1937-10-04,1937-10-24,2,2,0
594,100.0,facility_df,house_df,1593,2524,Irine,Irine,Sumaya,Sumaya,Alita,Asha,1937-10-04,1937-10-24,2,2,0
1919,100.0,facility_df,house_df,583,2232,Irine,Irine,Laila,Laila,Ssenyonjo,,2020-06-05,2020-06-18,2,2,0
2424,100.0,facility_df,house_df,1325,2710,Isa,Isa,Kabulugu,Kabulugu,Ekwaro,Ekwaro,2014-08-14,2014-08-07,1,1,0
2685,100.0,facility_df,house_df,1224,49,Isa,Isa,Mukose,Mukose,Anko,Anko,1995-07-13,1995-07-13,1,1,0
990,100.0,facility_df,house_df,2716,700,Isa,Isa,Saidi,Saidi,Balaki,Kakooza,1969-07-19,1969-06-22,1,1,0
1265,100.0,facility_df,house_df,2561,3642,Isa,Isa,Abdulazaki,Abdulazaki,Akol,Kyosimire,1934-06-30,1934-07-13,1,1,0
1266,100.0,facility_df,house_df,2456,3642,Isa,Isa,Abdulazaki,Abdulazaki,Akol,Kyosimire,1934-06-30,1934-07-13,1,1,0
2132,100.0,facility_df,house_df,2723,1399,Isa,Isa,Ziraba,Ziraba,Najjuma,Najjuma,1947-09-22,1947-09-15,1,1,0
995,100.0,facility_df,house_df,490,700,Isa,Isa,Saidi,Saidi,Balaki,Kakooza,1969-07-19,1969-06-22,1,1,0
2705,100.0,facility_df,house_df,739,3548,Isaac,Isaac,Ndada,Ndada,Kabugo,Kabugo,1940-10-15,1940-10-15,1,1,0
2282,100.0,facility_df,house_df,1192,2407,Isaac,Isaac,Kalenzi,Kalenzi,Masolo,Masolo,2005-06-25,2005-07-08,1,1,0
2869,100.0,facility_df,house_df,151,2520,Isaac,Isaac,Joel,Joel,Emuron,Emuron,1987-09-08,1987-09-08,1,1,0
2807,100.0,facility_df,house_df,1627,1707,Isaac,Isaac,Jafali,Jafali,Jose,Jose,1954-09-04,1954-09-04,1,1,0
2250,100.0,facility_df,house_df,782,2696,Isabirye,Isabirye,Nakiruba,Nakiruba,Kyomuhendo,Kyomuhendo,1962-03-15,1962-03-08,1,1,0
2326,100.0,facility_df,house_df,2364,2309,Isabirye,Isabirye,Isifu,Isifu,Erwau,Erwau,1954-10-28,1954-11-10,1,1,0
2766,100.0,facility_df,house_df,194,776,Isabirye,Isabirye,Tirulaga,Tirulaga,Mukitale,Mukitale,2015-10-05,2015-10-05,1,1,0
2327,100.0,facility_df,house_df,1541,2309,Isabirye,Isabirye,Isifu,Isifu,Erwau,Erwau,1954-10-28,1954-11-10,1,1,0
2248,100.0,facility_df,house_df,2862,2696,Isabirye,Isabirye,Nakiruba,Nakiruba,Kyomuhendo,Kyomuhendo,1962-03-15,1962-03-08,1,1,0
2573,100.0,facility_df,house_df,2543,3394,Isabirye,Isabirye,Idinda,Idinda,Mukasa,Mukasa,1976-02-21,1976-02-21,1,1,0
2249,100.0,facility_df,house_df,1414,2696,Isabirye,Isabirye,Nakiruba,Nakiruba,Kyomuhendo,Kyomuhendo,1962-03-15,1962-03-08,1,1,0
2611,100.0,facility_df,house_df,721,2419,Isifu,Isifu,Muwanika,Muwanika,Feta,Feta,2023-04-27,2023-05-10,1,1,0
2285,100.0,facility_df,house_df,1114,2493,Isiko,Isiko,Akisamu,Akisamu,Mwesigwa,Mwesigwa,2018-07-17,2018-07-30,1,1,0
2738,100.0,facility_df,house_df,37,2493,Isiko,Isiko,Akisamu,Akisamu,Mwesigwa,Mwesigwa,2018-07-30,2018-07-30,1,1,0
2284,100.0,facility_df,house_df,2173,2493,Isiko,Isiko,Akisamu,Akisamu,Mwesigwa,Mwesigwa,2018-07-17,2018-07-30,1,1,0
2283,100.0,facility_df,house_df,2504,2493,Isiko,Isiko,Akisamu,Akisamu,Mwesigwa,Mwesigwa,2018-07-17,2018-07-30,1,1,0
1248,100.0,facility_df,house_df,1765,1185,Isima,Isima,Abdulahuman,Abdulahuman,Nnabunya,Akim,2014-09-21,2014-09-14,1,1,0
1433,100.0,facility_df,house_df,2048,3554,Isima,Isima,Abdallah,Abdallah,Nanyonga,Kimeze,1947-06-14,1947-05-25,1,1,0
2372,100.0,facility_df,house_df,2495,396,Isima,Isima,Akramu,Akramu,Lwanga,Lwanga,1970-07-01,1970-06-04,1,1,0
255,100.0,facility_df,house_df,138,187,Isima,Isima,,,Nsereko,Kalyesubula,1961-04-29,1961-04-22,1,1,0
1951,100.0,facility_df,house_df,905,187,Isima,Isima,,,Kalyesubula,Kalyesubula,1961-04-22,1961-04-22,1,1,0
1249,100.0,facility_df,house_df,617,1185,Isima,Isima,Abdulahuman,Abdulahuman,Nnabunya,Akim,2014-09-21,2014-09-14,1,1,0
2936,100.0,facility_df,house_df,287,633,Isma,Isma,Ibanda,Ibanda,Balaba,Balaba,2019-04-04,2019-04-04,1,1,0
2962,100.0,facility_df,house_df,1630,2319,Ismail,Ismail,Haruna,Haruna,Karega,Karega,1999-10-08,1999-10-08,1,1,0
1106,100.0,facility_df,house_df,1103,2535,Ivan,Ivan,Ali,Ali,Amuto,Kajubi,2012-05-02,2012-05-15,1,1,0
256,100.0,facility_df,house_df,162,1027,Ivan,Ivan,,,Nakkazi,Isingoma,1965-09-07,1965-09-27,1,1,0
1109,100.0,facility_df,house_df,1064,2535,Ivan,Ivan,Ali,Ali,Amuto,Kajubi,2012-05-02,2012-05-15,1,1,0
2378,100.0,facility_df,house_df,1771,2424,Ivan,Ivan,Kisubi,Kisubi,Lwasa,Lwasa,2010-11-10,2010-11-23,1,1,0
2560,100.0,facility_df,house_df,2851,3892,Jackline,Jackline,Namumbya,Namumbya,Mira,Mira,2012-09-19,2012-09-19,2,2,0
891,100.0,facility_df,house_df,507,3892,Jackline,Jackline,Namumbya,Namumbya,Chilalo,Mira,2012-09-26,2012-09-19,2,2,0
2825,100.0,facility_df,house_df,2040,2175,Jackline,Jackline,Bageyana,Bageyana,Gia,Gia,2008-11-13,2008-11-13,2,2,0
2079,100.0,facility_df,house_df,178,2263,Jafra,Jafra,,,Kagimu,Kagimu,1980-11-17,1980-11-17,1,1,0
1068,100.0,facility_df,house_df,1438,2536,Jalia,Jalia,Rwabaga,Rwabaga,Anaka,Femi,2024-03-06,2024-03-26,2,2,0
210,99.86,facility_df,house_df,389,2801,Jalia,Jalia,Naigaga,Naigaga,Ayo,,2021-05-19,1959-04-08,2,2,0
716,100.0,facility_df,house_df,389,3771,Jalia,Jalia,Naigaga,Naigaga,Ayo,,2021-05-19,2021-06-01,2,2,0
245,99.99,facility_df,house_df,2825,2863,Jalila,Jalila,Kaudha,Kaudha,,Inara,1939-08-12,1983-06-06,2,2,0
2047,100.0,facility_df,house_df,2825,726,Jalila,Jalila,Kaudha,Kaudha,,,1939-08-12,1939-08-12,2,2,0
2269,100.0,facility_df,house_df,1774,2863,Jalila,Jalila,Kaudha,Kaudha,Inara,Inara,1983-05-24,1983-06-06,2,2,0
244,99.99,facility_df,house_df,1774,726,Jalila,Jalila,Kaudha,Kaudha,Inara,,1983-05-24,1939-08-12,2,2,0
1035,100.0,facility_df,house_df,1532,2317,Jalira,Jalira,Namaganda,Namaganda,,,2024-03-23,2024-04-05,2,2,0
1889,100.0,facility_df,house_df,1448,2317,Jalira,Jalira,Namaganda,Namaganda,,,2024-04-05,2024-04-05,2,2,0
2861,100.0,facility_df,house_df,2027,2043,Jaliru,Jaliru,Ndibogeza,Ndibogeza,Kulumba,Kulumba,1963-01-25,1963-01-25,1,1,0
1020,100.0,facility_df,house_df,1921,3798,Jamada,Jamada,Tenywa,Tenywa,Bakitara,Muhammed,1967-07-07,1967-06-17,1,1,0
1806,100.0,facility_df,house_df,378,30,Jamali,Jamali,Balyesa,Balyesa,Omutima,Kazi,1974-05-01,1974-04-06,1,1,0
1964,100.0,facility_df,house_df,2681,2210,Jamawa,Jamawa,Juliet,Juliet,,,2002-08-03,2002-08-03,2,2,0
2868,100.0,facility_df,house_df,2116,1748,Jamawa,Jamawa,Rwahuya,Rwahuya,Rila,Rila,2001-10-18,2001-10-18,2,2,0
2308,100.0,facility_df,house_df,1692,2157,Jamawa,Jamawa,Naigaga,Naigaga,Ama,Ama,1933-09-05,1933-09-05,2,2,0
2186,100.0,facility_df,house_df,615,2274,Jamawa,Jamawa,Maido,Maido,Sela,Sela,1950-03-24,1950-02-25,2,2,0
2584,100.0,facility_df,house_df,1507,2723,Jamawa,Jamawa,Kyozira,Kyozira,Mira,Mira,1963-11-09,1963-11-09,2,2,0
1280,100.0,facility_df,house_df,2422,2210,Jamawa,Jamawa,Juliet,Juliet,Nyendo,,2002-07-21,2002-08-03,2,2,0
358,100.0,facility_df,house_df,1247,2157,Jamawa,Jamawa,Naigaga,Naigaga,Nanziri,Ama,1933-08-23,1933-09-05,2,2,0
1534,100.0,facility_df,house_df,690,1916,James,James,Musalwa,Musalwa,Miremba,Bukenya,2011-01-14,2011-01-27,1,1,0
2857,100.0,facility_df,house_df,2392,3215,James,James,Musana,Musana,Muhairwe,Muhairwe,2008-02-04,2008-02-04,1,1,0
1317,100.0,facility_df,house_df,1298,938,James,James,Haruna,Haruna,Nabbosa,Mbaziira,1932-02-16,1932-02-29,1,1,0
1608,100.0,facility_df,house_df,437,2136,Jamila,Jamila,Namugere,Namugere,Namutebi,,1948-05-22,1948-05-15,2,2,0
2063,100.0,facility_df,house_df,2084,1880,Jamilah,Jamilah,Namwebya,Namwebya,,,1973-06-22,1973-06-22,2,2,0
2663,100.0,facility_df,house_df,2637,499,Jamira,Jamira,Nahiya,Nahiya,Kiara,Kiara,2012-12-13,2012-12-13,2,2,0
144,99.21,facility_df,house_df,1069,866,Jamira,Jamira,Nahiya,Sulaina,Kiara,,2012-11-30,2012-12-10,2,2,0
1715,100.0,facility_df,house_df,1073,2499,Jamira,Jamira,Biido,Biido,,,1993-11-25,1993-12-08,2,2,0
104,98.31,facility_df,house_df,2637,866,Jamira,Jamira,Nahiya,Sulaina,Kiara,,2012-12-13,2012-12-10,2,2,0
1311,100.0,facility_df,house_df,1429,1593,Jamira,Jamira,Nalubega,Nalubega,Angoma,,1977-04-05,1977-04-18,2,2,0
2236,100.0,facility_df,house_df,1069,499,Jamira,Jamira,Nahiya,Nahiya,Kiara,Kiara,2012-11-30,2012-12-13,2,2,0
2349,100.0,facility_df,house_df,470,2889,Jamira,Jamira,Nabwire,Nabwire,Rira,Rira,2014-06-27,2014-07-17,2,2,0
1002,100.0,facility_df,house_df,517,2382,Jamira,Jamira,Shirati,Shirati,,,1953-08-03,1953-08-23,2,2,0
1256,100.0,facility_df,house_df,206,2751,Jamira,Jamira,Fazira,Fazira,,,1960-01-12,1960-01-25,2,2,0
1312,100.0,facility_df,house_df,268,1593,Jamira,Jamira,Nalubega,Nalubega,Angoma,,1977-04-05,1977-04-18,2,2,0
2117,100.0,facility_df,house_df,566,2337,Jamira,Jamira,Nakato,Nakato,Nira,Nira,2014-10-10,2014-09-20,2,2,0
1494,100.0,facility_df,house_df,2087,880,Jamiri,Jamiri,Umar,Umar,Kirungi,Kyomuhendo,1989-01-26,1989-01-19,1,1,0
2558,100.0,facility_df,house_df,2491,243,Jamiru,Jamiru,Kuluseni,Kuluseni,Kobusheshe,Kobusheshe,1967-10-09,1967-10-22,1,1,0
1618,100.0,facility_df,house_df,582,1940,Jamiru,Jamiru,Kintu,Kintu,Nabbosa,Nagujja,2013-01-04,2012-12-28,1,1,0
706,100.0,facility_df,house_df,1449,1233,Jamiru,Jamiru,Kisambira,Kisambira,Ssubi,Kugonza,2009-08-22,2009-09-11,1,1,0
2850,100.0,facility_df,house_df,374,654,Jamiya,Jamiya,Namatende,Namatende,Imani,Imani,2027-01-06,2027-01-06,2,2,0
2271,100.0,facility_df,house_df,1910,2678,Janati,Janati,Mirisa,Mirisa,Qima,Qima,2020-05-12,2020-05-05,2,2,0
930,100.0,facility_df,house_df,2767,2096,Janati,Janati,Walusansa,Walusansa,Nalukwago,Kala,1977-03-08,1977-03-01,2,2,0
2270,100.0,facility_df,house_df,2531,2678,Janati,Janati,Mirisa,Mirisa,Qima,Qima,2020-05-12,2020-05-05,2,2,0
2789,100.0,facility_df,house_df,1641,2096,Janati,Janati,Walusansa,Walusansa,Kala,Kala,1977-03-01,1977-03-01,2,2,0
554,100.0,facility_df,house_df,42,2898,Jane,Jane,Babirye,Babirye,Adidi,Sanda,1961-05-12,1961-05-05,2,2,0
